concept_set_id,concept_set_name,project_id,assigned_informatician,assigned_sme,status,stage,intention,n3c_reviewer,alias,archived,created_by,created_at
[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] COVID19 ICD10CM Value Set for Down's Syndrome,[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] COVID19 ICD10CM Value Set for Down's Syndrome,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This set of values contains terms related to Down's syndrome (Trisomy 21) and is listed as a neurologic disorder on the CDC SARS-CoV-2 hospitalization surveillance case report form.; Data Element Scope: ; Inclusion Criteria: Includes Down's syndrome (Trisomy 21).,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-30T14:00:42.393Z
[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] Rheumatoid Arthritis,[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] Rheumatoid Arthritis,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,"Clinical Focus: The purpose of this value set is to represent concepts for a diagnosis of  rheumatoid arthritis.; Data Element Scope: This value set may use a model element related to Diagnosis.; Inclusion Criteria: Includes concepts that represent a diagnosis of rheumatoid arthritis and Felty's syndrome, including comorbidities occurring with rheumatoid arthritis such as rheumatoid polyneuropathy, rheumatoid myopathy, rheumatoid heart disease, rheumatoid vasculitis, and rheumatoid lung disease.",,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-30T14:00:42.393Z
[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] Autoimmune Disease,[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] Autoimmune Disease,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: The purpose of this value set is to identify diagnoses of autoimmune disease.; Data Element Scope: This value set may use a model element related to diagnosis.; Inclusion Criteria: Includes concepts that identify a diagnosis of an autoimmune disease.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-30T14:00:42.393Z
[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] Metastatic Cancer,[oids from data/vsac-OIDs/Lisa4-VSAC-2022-03-28.csv => VSAC trad API => 3-file dir /Users/sigfried/git-repos/ValueSet-Tools/vsac_wrangler/../data/palantir-three-file/vsac/2022.03.30/output] Metastatic Cancer,,a39723f3-dc9c-48ce-90ff-06891c29114f,a39723f3-dc9c-48ce-90ff-06891c29114f,Under Construction,Awaiting Editing,Clinical Focus: This value set contains concepts related to advanced cancer stages and metastatic cancer.; Data Element Scope: This value set would use the QDM category of Diagnosis.; Inclusion Criteria: Concepts related to metastatic cancer.,,,False,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-30T14:00:42.393Z
