codeset_id,concept_id,code,codeSystem,isExcluded,includeDescendants,includeMapped,item_id,annotation,created_by,created_at
1000000314,,11397000,SNOMEDCT,False,True,False,ecce9ce6-3873-40cc-85ba-4e3890f979e0,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,116863004,SNOMEDCT,False,True,False,50fcba14-b248-4875-913c-9ca14c7470dd,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,180206004,SNOMEDCT,False,True,False,63570404-ab1b-4cc8-aa25-99435b575e70,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,180207008,SNOMEDCT,False,True,False,acdd1fc9-942a-40ef-8f10-2c4b2aebb572,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,225284006,SNOMEDCT,False,True,False,1161a64d-d582-45df-b2ae-5d44be00da94,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,288170000,SNOMEDCT,False,True,False,d354bd97-6f67-4dec-96d5-a656ca45ffb9,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,33389009,SNOMEDCT,False,True,False,3331d907-1e70-4770-adea-04d8a7d7ca82,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,425513008,SNOMEDCT,False,True,False,cb2ea14a-aec2-4e9c-ba08-df12cc84fc32,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,426290002,SNOMEDCT,False,True,False,ec0154a4-8618-43bf-81dd-b5efa20007fd,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,54790000,SNOMEDCT,False,True,False,30ad773f-6ae0-4be0-974f-132af640a779,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000314,,71493000,SNOMEDCT,False,True,False,2e2524f0-2efe-4478-8ba3-e98398d6b8a4,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.769Z
1000000065,,116788004,SNOMEDCT,False,True,False,4538b056-79d0-4a93-adf4-116bbf80b37a,Generated from VSAC export,a39723f3-dc9c-48ce-90ff-06891c29114f,2022-03-02T16:50:18.770Z
