oid	codeSystem	codes
2.16.840.1.113762.1.4.1196.475	SNOMEDCT	10674991000119104,10675391000119101,10675431000119106,10675471000119109,10675551000119104,10675591000119109,10675631000119109,10675671000119107,10675711000119106,10675751000119107,10675871000119106,10675911000119109,10675991000119100,10676031000119106,10676071000119109,10676111000119102,10676151000119101,10676191000119106,10676231000119102,10676351000119103,10676391000119108,10676431000119103,10676511000119109,10676551000119105,10676591000119100,10676631000119100,10676671000119102,10676711000119103,10692681000119108,10692721000119102,10692761000119107,10742121000119104,11641008,12428000,124991000119109,125001000119103,125011000119100,125021000119107,16055311000119107,16584951000119101,170631002,170632009,170633004,170634005,170635006,170636007,170638008,170658009,1741000119102,1751000119100,18041002,195949008,195967001,195977004,19849005,225057002,233678006,233679003,233683003,233687002,233688007,2360001000004109,266361008,281239006,312453004,312454005,31387002,34015007,370202007,370204008,370205009,370208006,370218001,370219009,370220003,370221004,370225008,370226009,373899003,389145006,390798007,395022009,397579009,401000119107,404804003,404806001,404808000,405944004,407674008,409663006,41553006,418395004,423889005,424199006,424643009,425969006,426656000,426979002,427295004,427603009,427679007,442025000,445427006,5281000124103,55570000,56968009,57607007,59786004,63088003,641000119106,703953004,703954005,707444001,707445000,707446004,707447008,707511009,707512002,707513007,707979007,707980005,707981009,708090002,708093000,708094006,708095007,708096008,72301000119103,733858005,734904007,734905008,735588005,735589002,762521001,782513000,782520007,782559003,786836003,829976001,901000119100,92807009,93432008,99031000119107
2.16.840.1.113762.1.4.1196.475	ICD10CM	J45.2,J45.20,J45.21,J45.22,J45.3,J45.30,J45.31,J45.32,J45.4,J45.40,J45.41,J45.42,J45.5,J45.50,J45.51,J45.52,J45.9,J45.90,J45.901,J45.902,J45.909,J45.99,J45.991,J45.998,J82.83
2.16.840.1.113762.1.4.1219.2	ICD10CM	J47.0,J47.1,J47.9,Q33.4
2.16.840.1.113762.1.4.1219.1	SNOMEDCT	12310001,13217005,19325002,195984007,195985008,23022004,233627004,233628009,233629001,233630006,233631005,233632003,233633008,233634002,42402006,445378003,51068008,52500008,714203003,77593006,83457000,879963005
2.16.840.1.113883.3.464.1003.102.12.1025	SNOMEDCT	10528009,10706006,10893003,1092771000119104,111466004,111825008,111830007,111832004,11676005,11689004,12137005,123593009,123594003,123712000,123713005,1259003,12677003,129211000119108,12985005,13570003,14188007,14527007,15202009,15284007,154283005,16016231000119109,16016311000119107,16409009,16537000,16632002,17136009,17653001,182159002,185113005,186172004,186175002,186177005,186178000,186182003,186192006,186193001,186194007,186195008,186199002,186200004,186201000,186202007,186203002,186204008,186217006,186225008,186259007,186263000,186266008,186267004,186269001,186270000,186272008,186273003,186276006,186278007,190710003,192745001,194908003,194949003,195953005,195985008,196017002,196067009,196102003,196107009,196112005,196133001,196136009,196138005,196143003,196188002,196189005,196190001,196191002,198241002,199179007,199180005,199181009,202994006,203263006,203264000,203265004,203267007,203269005,203270006,203272003,203274002,203278004,203279007,203280005,203282002,20372007,213580002,21504004,22607003,22990009,23022004,233628009,233629001,233631005,233634002,233649005,233658003,233659006,233749003,233751004,233754007,233755008,233756009,233757000,233758005,233759002,233760007,233761006,233762004,233763009,233794009,234090004,235067001,235694001,236602004,236684001,236770001,237445009,238430004,238431000,238432007,240376003,240379005,240380008,240381007,240382000,24235005,24810006,25629007,25738004,25831001,266366003,267317007,26935004,271423008,271503005,271504004,28085001,281623008,28295001,28399005,29422001,297188009,29731002,301836007,302131003,30437004,307202004,31112008,311671000119100,314029000,31892009,32139003,32268008,326542006,328561000119107,328571000119101,33072005,33325001,33548005,33631007,33893009,34004002,34286007,35585004,35786001,35984006,36696005,37133005,37711000,37981002,38115001,38279006,38420005,39306006,398640008,40218008,40258005,402973006,402974000,402975004,405576001,40640008,40779009,413556004,413852006,414146004,414149006,414546009,415222009,415345001,415622003,416265003,416484003,416826005,416903004,417279003,417425009,417484006,417517009,417748003,421571007,422481005,4225003,423092005,423709000,423997002,42434002,42458003,42522007,427099000,428782008,42908004,440206000,441770001,44182001,44323002,443378001,444108000,4445009,44547005,44572005,44599007,446123007,446543007,446753005,446926000,446946005,446986002,447006007,447012002,447253004,447330002,447332005,447371008,447399004,448370006,449925002,4501007,46621007,47292005,473426009,473427000,473428005,473429002,473430007,473431006,47515009,47604008,48225000,48475001,49107007,49558004,49807009,49840000,50076003,50589003,50694005,51014003,51068008,51277007,52721006,52987001,54084005,54959009,55419007,55448001,56498009,56717001,58374007,58437007,58525007,58554001,58691003,58764007,59113005,599006,60136008,61448007,62371005,62494007,62819009,63309002,63808004,64631008,66151009,66291003,66986005,67256000,68033004,699326004,700272008,700273003,70341005,707149004,708025003,710106005,71375000,714394004,717697005,71943007,72270005,724541008,72807002,733497009,733835007,7343008,73452002,73477001,735521001,735523003,735525005,735527002,74181004,74387008,7444001,74610006,76157009,76630008,77038006,770674007,782761005,78436002,78887005,789056000,789057009,79158003,80003002,80010008,80602006,81133003,81359005,81554001,82495004,8250007,82796002,83652003,83784000,84194006,84288007,85692003,85940005,860803004,86263001,87909002,8832006,88356006,88687001,90117007,90302003,90623003,91036007,91483004
2.16.840.1.113883.3.464.1003.102.12.1025	ICD10CM	A15.4,A15.5,A15.6,A15.7,A15.8,A15.9,A17.0,A17.1,A17.81,A17.82,A17.83,A17.89,A17.9,A18.01,A18.02,A18.03,A18.09,A18.10,A18.11,A18.12,A18.13,A18.14,A18.15,A18.16,A18.17,A18.18,A18.2,A18.31,A18.32,A18.39,A18.4,A18.50,A18.51,A18.52,A18.53,A18.54,A18.59,A18.6,A18.7,A18.81,A18.82,A18.83,A18.84,A18.85,A18.89,A19.0,A19.1,A19.2,A19.8,A19.9,B44.81,D57.01,D57.03,D57.09,D57.211,D57.213,D57.218,D57.411,D57.413,D57.418,D57.811,D57.813,D57.818,D61.810,D61.811,D61.818,D70.0,D70.1,D70.2,D70.3,D70.4,D70.8,D70.9,D71,D72.0,D75.81,D76.1,D76.2,D76.3,D86.0,D86.1,D86.2,E84.0,E84.11,E84.19,E84.8,E84.9,J22,J41.0,J41.1,J41.8,J42,J47.0,J47.1,J47.9,J60,J61,J62.0,J62.8,J63.0,J63.1,J63.2,J63.3,J63.4,J63.5,J63.6,J64,J65,J66.0,J66.1,J66.2,J66.8,J67.0,J67.1,J67.2,J67.3,J67.4,J67.5,J67.6,J67.7,J67.8,J67.9,J68.0,J68.1,J68.2,J68.3,J68.9,J69.0,J69.1,J69.8,J70.0,J70.1,J70.2,J70.3,J70.4,J70.5,J70.8,J70.9,J80,J81.0,J81.1,J82,J82.81,J82.82,J82.83,J82.89,J84.01,J84.02,J84.03,J84.09,J84.10,J84.111,J84.112,J84.113,J84.114,J84.115,J84.116,J84.117,J84.17,J84.170,J84.178,J84.2,J84.81,J84.82,J84.83,J84.841,J84.842,J84.843,J84.848,J84.89,J84.9,J85.0,J85.1,J85.2,J85.3,J86.0,J86.9,J90,J91.0,J91.8,J92.0,J92.9,J93.0,J93.11,J93.12,J93.81,J93.82,J93.83,J93.9,J94.0,J94.1,J94.2,J94.8,J94.9,J95.00,J95.01,J95.02,J95.03,J95.04,J95.09,J95.1,J95.2,J95.3,J95.4,J95.5,J95.61,J95.62,J95.71,J95.72,J95.811,J95.812,J95.821,J95.822,J95.830,J95.831,J95.84,J95.850,J95.851,J95.859,J95.860,J95.861,J95.862,J95.863,J95.88,J95.89,J96.00,J96.01,J96.02,J96.10,J96.11,J96.12,J96.20,J96.21,J96.22,J96.90,J96.91,J96.92,J98.51,J98.6,J99,M05.10,M05.111,M05.112,M05.119,M05.121,M05.122,M05.129,M05.131,M05.132,M05.139,M05.141,M05.142,M05.149,M05.151,M05.152,M05.159,M05.161,M05.162,M05.169,M05.171,M05.172,M05.179,M05.19,M30.1,M32.13,M33.01,M33.11,M33.21,M33.91,M34.81,M35.02,O98.011,O98.012,O98.013,O98.019,O98.02,O98.03,P27.0,P27.1,P27.8,P27.9,Q25.45,Q25.47,Q25.48,Q30.0,Q30.1,Q30.2,Q30.3,Q30.8,Q30.9,Q31.0,Q31.1,Q31.2,Q31.3,Q31.5,Q31.8,Q31.9,Q32.0,Q32.1,Q32.2,Q32.3,Q32.4,Q33.0,Q33.1,Q33.2,Q33.3,Q33.4,Q33.5,Q33.6,Q33.8,Q33.9,Q34.0,Q34.1,Q34.8,Q34.9,Q39.0,Q39.1,Q39.2,Q39.3,Q39.4,Q89.01,Q89.3
